time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-12T00:57:16.010Z,38.8370018,-122.7939987,0.71,1.03,md,18,71,0.003181,0.02,nc,nc73871010,2023-04-12T00:58:53.399Z,"6km WNW of Cobb, CA",earthquake,0.25,0.51,0.13,20,automatic,nc,nc
2023-04-12T00:55:51.362Z,63.5356,-147.3213,0,1.7,ml,,,,0.53,ak,ak0234op5aps,2023-04-12T01:01:54.288Z,"81 km ESE of Denali Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-12T00:52:02.170Z,38.8349991,-122.7891693,2.16,0.7,md,10,85,0.003526,0.02,nc,nc73871005,2023-04-12T00:53:38.059Z,"6km WNW of Cobb, CA",earthquake,0.49,0.69,0.13,11,automatic,nc,nc
2023-04-12T00:44:29.430Z,62.8159,-149.4353,1.1,1.7,ml,,,,0.74,ak,ak0234op2w5b,2023-04-12T00:46:25.383Z,"53 km NE of Chase, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-12T00:44:23.238Z,67.1724,-147.8721,6.5,1.4,ml,,,,0.77,ak,ak0234op2vuq,2023-04-12T00:50:42.605Z,"65 km WNW of Venetie, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-12T00:43:41.209Z,-33.0335,-178.4029,10,4.9,mb,19,201,3.782,0.47,us,us6000k3nf,2023-04-12T01:01:29.040Z,"south of the Kermadec Islands",earthquake,12.54,2.018,0.187,13,reviewed,us,us
2023-04-12T00:40:25.640Z,33.632,-116.6446667,16.45,0.63,ml,24,56,0.0427,0.15,ci,ci40439824,2023-04-12T00:44:03.331Z,"9km NNE of Anza, CA",earthquake,0.28,0.42,0.179,17,automatic,ci,ci
2023-04-12T00:40:11.060Z,38.8100014,-122.836998,0.59,1.66,md,26,52,0.006214,0.05,nc,nc73870985,2023-04-12T00:59:11.238Z,"8km WNW of The Geysers, CA",earthquake,0.16,0.33,0.14,28,automatic,nc,nc
2023-04-12T00:39:50.830Z,33.5876667,-116.6025,12.06,0.44,ml,20,55,0.01181,0.2,ci,ci40439816,2023-04-12T00:43:30.496Z,"8km ENE of Anza, CA",earthquake,0.5,0.64,0.241,10,automatic,ci,ci
2023-04-12T00:38:02.460Z,38.8103333,-122.8351669,0.73,2.01,md,35,33,0.004902,0.05,nc,nc73870970,2023-04-12T00:45:11.279Z,"8km WNW of The Geysers, CA",earthquake,0.15,0.22,0.21,38,automatic,nc,nc
2023-04-12T00:37:22.980Z,17.9393333333333,-66.9551666666667,16.35,3.03,md,20,218,0.08052,0.15,pr,pr71404298,2023-04-12T00:54:21.420Z,"Puerto Rico region",earthquake,0.44,0.34,0.150625154450731,12,reviewed,pr,pr
2023-04-12T00:26:07.142Z,61.6066,-149.6803,34.2,1.2,ml,,,,0.7,ak,ak0234ooyzje,2023-04-12T00:27:45.721Z,"4 km WSW of Meadow Lakes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-04-12T00:22:09.730Z,19.175666809082,-155.480834960938,32.6500015258789,1.75,md,18,161,,0.119999997,hv,hv73361602,2023-04-12T00:25:15.690Z,"Island of Hawaii, Hawaii",earthquake,1.51,1.14999998,1.76999998,4,automatic,hv,hv
2023-04-12T00:22:05.760Z,38.7921677,-122.7634964,2.26,0.74,md,7,90,0.008948,0.01,nc,nc73870965,2023-04-12T00:53:20.204Z,"2km NNW of The Geysers, CA",earthquake,0.35,0.72,0.03,6,automatic,nc,nc
2023-04-12T00:12:44.030Z,17.942,-66.96,15.66,2.62,md,15,216,0.08359,0.12,pr,pr71404278,2023-04-12T00:26:53.830Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.56,0.57,0.202505784307994,9,reviewed,pr,pr
2023-04-12T00:12:37.310Z,39.2145004,-120.3899994,-1.28,2.72,md,18,84,0.1678,0.09,nc,nc73870960,2023-04-12T00:42:00.434Z,"21km WNW of Sunnyside-Tahoe City, CA",earthquake,0.3,4.96,0.18,18,automatic,nc,nc
2023-04-12T00:10:56.654Z,61.4925,-146.556,27.6,1.5,ml,,,,0.98,ak,ak0234oovnwh,2023-04-12T00:13:13.721Z,"41 km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-12T00:09:49.800Z,17.9296666666667,-66.9391666666667,15.01,2.25,md,10,225,0.05132,0.07,pr,pr71404273,2023-04-12T00:25:39.650Z,"5 km SW of Guánica, Puerto Rico",earthquake,0.62,0.44,0.123562791535545,6,reviewed,pr,pr
2023-04-12T00:07:53.570Z,33.7621667,-116.9153333,14.08,0.75,ml,24,90,0.07523,0.13,ci,ci40439808,2023-04-12T00:16:05.856Z,"3km NW of Valle Vista, CA",earthquake,0.32,0.47,0.086,16,reviewed,ci,ci
2023-04-12T00:05:17.611Z,62.9299,-149.8234,84.5,1.2,ml,,,,0.57,ak,ak0234oouib5,2023-04-12T00:07:34.102Z,"55 km NNE of Chase, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-04-12T00:05:07.273Z,25.9004,87.2664,10,4,mb,19,178,2.09,0.78,us,us6000k3n5,2023-04-12T00:57:02.538Z,"7 km E of Banmankhi, India",earthquake,7.05,1.963,0.173,9,reviewed,us,us
