Beats: ('VEHICLE NON-COMMERCIAL', 'SCHOOL - PUBLIC BUILDING'), Correlation: 1.0
Beats: ('1821', '2212'), Correlation: 0.9999999997147592
Beats: ('1632', '1812'), Correlation: 0.9999999992965394
Beats: ('1712', '0511'), Correlation: 0.9999999991592554
Beats: ('0811', '0131'), Correlation: 0.9999999991059303
Beats: ('1012', '0113'), Correlation: 0.9999999990396246
Beats: ('0633', '0632'), Correlation: 0.9999999987265338
Beats: ('0914', '1014'), Correlation: 0.9999999985152721
Beats: ('2532', '1423'), Correlation: 0.9999999982462213
Beats: ('0822', '0513'), Correlation: 0.9999999971674327
Beats: ('0923', '2433'), Correlation: 0.999999992159751
Beats: ('0332', '2515'), Correlation: 0.9999999812648763
Beats: ('1921', '0234'), Correlation: 0.9999999742814983
Beats: ('1712', '1611'), Correlation: 0.9999999740167982
Beats: ('2532', '0714'), Correlation: 0.9999999481797792
Beats: ('0431', '2232'), Correlation: 0.9999999392408773
Beats: ('1821', '0832'), Correlation: 0.9999998553356384
Beats: ('1433', '1014'), Correlation: 0.9999998463895022
Beats: ('0133', '1651'), Correlation: 0.9999998411973057
Beats: ('1231', '1034'), Correlation: 0.9999998190807713
Beats: ('1231', '1513'), Correlation: 0.9999998068470116
Beats: ('0915', '1214'), Correlation: 0.9999997975409889
Beats: ('0834', '1214'), Correlation: 0.9999997783878908
Beats: ('1022', '1913'), Correlation: 0.9999997783124411
Beats: ('0822', '1013'), Correlation: 0.9999997741112219
Beats: ('1231', '0821'), Correlation: 0.9999997492213871
Beats: ('0431', '1232'), Correlation: 0.999999735401617
Beats: ('0822', '0524'), Correlation: 0.9999996416094659
Beats: ('0431', '0214'), Correlation: 0.9999996344731147
Beats: ('1614', '1122'), Correlation: 0.9999995597333321
Beats: ('1712', '0523'), Correlation: 0.9999995508165719
Beats: ('1712', '1011'), Correlation: 0.9999995308735562
Beats: ('0825', '1833'), Correlation: 0.9999995269278932
Beats: ('2211', '1723'), Correlation: 0.9999995075488837
Beats: ('0822', '0611'), Correlation: 0.9999994834712078
Beats: ('2532', '2535'), Correlation: 0.9999994542771808
Beats: ('0822', '0122'), Correlation: 0.9999994228665218
Beats: ('0822', '1531'), Correlation: 0.9999994121142395
Beats: ('0414', '0723'), Correlation: 0.9999994083398345
Beats: ('0212', '1522'), Correlation: 0.9999994011621045
Beats: ('1231', '1833'), Correlation: 0.999999374246172
Beats: ('0631', '1634'), Correlation: 0.9999993306547432
Beats: ('0414', '0133'), Correlation: 0.9999993267919237
Beats: ('0414', '0834'), Correlation: 0.999999320584475
Beats: ('0414', '0915'), Correlation: 0.999999285858123
Beats: ('0212', '1024'), Correlation: 0.9999992690041998
Beats: ('0914', '0215'), Correlation: 0.9999992105301513
Beats: ('1654', '1412'), Correlation: 0.9999991461119154
Beats: ('0715', '0735'), Correlation: 0.9999991308643974
Beats: ('0631', '0333'), Correlation: 0.9999990605104397
Beats: ('1821', '1831'), Correlation: 0.9999990151216548
Beats: ('0431', '1434'), Correlation: 0.999998993429802
Beats: ('2532', '1125'), Correlation: 0.9999988940188685
Beats: ('0212', '2533'), Correlation: 0.9999988328440677
Beats: ('0715', '2512'), Correlation: 0.9999987747571384
Beats: ('2532', '0221'), Correlation: 0.9999987266914373
Beats: ('1012', '1215'), Correlation: 0.9999986866724457
Beats: ('1231', '0512'), Correlation: 0.9999986702935356
Beats: ('0414', '1651'), Correlation: 0.9999985140559702
Beats: ('0414', '1214'), Correlation: 0.9999983229141687
Beats: ('1433', '2531'), Correlation: 0.9999983119614178
Beats: ('1433', '0215'), Correlation: 0.9999982602787093
Beats: ('0921', '1023'), Correlation: 0.9999981937588127
Beats: ('1231', '1111'), Correlation: 0.9999980786065195
Beats: ('0715', '0814'), Correlation: 0.9999980781367785
Beats: ('1231', '0825'), Correlation: 0.9999978130079785
Beats: ('0715', '2024'), Correlation: 0.9999974870710223
Beats: ('0914', '2531'), Correlation: 0.9999970081065587
Beats: ('1012', '0224'), Correlation: 0.9999968216197918
Beats: ('2211', '1914'), Correlation: 0.9999966967186493
Beats: ('0431', '2521'), Correlation: 0.9999966582422966
Beats: ('0921', '1414'), Correlation: 0.9999966535363697
Beats: ('0921', '0324'), Correlation: 0.9999965568754736
Beats: ('0631', '0423'), Correlation: 0.9999964367064801
Beats: ('2532', '2011'), Correlation: 0.9999964241257928
Beats: ('0631', '1114'), Correlation: 0.9999962157537198
Beats: ('1012', '1132'), Correlation: 0.9999962008426903
Beats: ('1012', '0123'), Correlation: 0.9999961368416775
Beats: ('0914', '1221'), Correlation: 0.9999960788875542
Beats: ('0921', '0624'), Correlation: 0.9999960753713398
Beats: ('1012', '1524'), Correlation: 0.9999959855477067
Beats: ('0834', '1651'), Correlation: 0.999995825091903
Beats: ('0212', 'false'), Correlation: 0.9999957999504075
Beats: ('0914', '2534'), Correlation: 0.9999957960374769
Beats: ('0915', '1651'), Correlation: 0.9999957396494514
Beats: ('0715', '2212'), Correlation: 0.9999955719695808
Beats: ('0414', '0334'), Correlation: 0.9999955519351376
Beats: ('1821', '0715'), Correlation: 0.9999955006054553
Beats: ('2211', '1134'), Correlation: 0.999995377963493
Beats: ('0822', 'false'), Correlation: 0.9999952551518928
Beats: ('0921', '1431'), Correlation: 0.99999523807283
Beats: ('0822', '0311'), Correlation: 0.9999948131507854
Beats: ('0715', '1031'), Correlation: 0.9999946870832189
Beats: ('2532', '0835'), Correlation: 0.9999942778658882
Beats: ('1614', '1235'), Correlation: 0.9999941972156859
Beats: ('1433', '1221'), Correlation: 0.9999941887988629
Beats: ('1433', '2424'), Correlation: 0.9999940779221668
Beats: ('1821', '1024'), Correlation: 0.9999940359044416
Beats: ('1231', '0725'), Correlation: 0.9999939334823591
Beats: ('1433', '2534'), Correlation: 0.9999938455318825
Beats: ('1821', '1522'), Correlation: 0.9999936330256223
Beats: ('2532', '1935'), Correlation: 0.9999935844115909
Beats: ('1231', '0913'), Correlation: 0.9999933165806135
Beats: ('1614', '0124'), Correlation: 0.9999931838957714
Beats: ('1614', '0634'), Correlation: 0.99999314201991
Beats: ('1231', '0225'), Correlation: 0.9999931064779422
Beats: ('0414', '1032'), Correlation: 0.999992749578697
Beats: ('0631', '0933'), Correlation: 0.9999924276201405
Beats: ('1654', '1131'), Correlation: 0.9999919225809045
Beats: ('0914', '2424'), Correlation: 0.999991797531886
Beats: ('0834', '0334'), Correlation: 0.999991395698465
Beats: ('2532', '0912'), Correlation: 0.9999913319136329
Beats: ('0915', '0334'), Correlation: 0.9999912732256677
Beats: ('1821', '0735'), Correlation: 0.9999906764397597
Beats: ('2532', '2514'), Correlation: 0.999990389844693
Beats: ('1614', '0331'), Correlation: 0.9999903839922359
Beats: ('1614', '2413'), Correlation: 0.9999902429633809
Beats: ('0715', '0633'), Correlation: 0.9999901650349032
Beats: ('0822', '2533'), Correlation: 0.9999900943866254
Beats: ('0915', '1523'), Correlation: 0.9999899363631836
Beats: ('0834', '1523'), Correlation: 0.9999898039462546
Beats: ('2532', '1421'), Correlation: 0.9999896425019357
Beats: ('1821', '2512'), Correlation: 0.9999895794825587
Beats: ('1614', '0321'), Correlation: 0.9999892238849549
Beats: ('1821', '0212'), Correlation: 0.9999891289272679
Beats: ('0212', '2212'), Correlation: 0.9999890172713645
Beats: ('0921', '1924'), Correlation: 0.9999887241225814
Beats: ('2532', '0523'), Correlation: 0.9999887118856428
Beats: ('1231', '2033'), Correlation: 0.9999882984804617
Beats: ('1433', '0211'), Correlation: 0.9999882291003446
Beats: ('1821', '0814'), Correlation: 0.9999876975288543
Beats: ('1231', '1135'), Correlation: 0.9999876466578899
Beats: ('0834', '1032'), Correlation: 0.999987631236125
Beats: ('1231', '2411'), Correlation: 0.999987593445238
Beats: ('1433', '0812'), Correlation: 0.9999875275058043
Beats: ('0915', '1032'), Correlation: 0.9999874844821603
Beats: ('1821', '2024'), Correlation: 0.9999862626244266
Beats: ('1231', '1121'), Correlation: 0.9999861610111115
Beats: ('0212', '1013'), Correlation: 0.9999859195763046
Beats: ('1231', '1933'), Correlation: 0.9999859001173841
Beats: ('1231', '0531'), Correlation: 0.9999858736810817
Beats: ('0715', '1915'), Correlation: 0.9999857010557517
Beats: ('0431', '1422'), Correlation: 0.9999853355874038
Beats: ('0414', '1613'), Correlation: 0.9999852657937908
Beats: ('2532', '0424'), Correlation: 0.9999851925199358
Beats: ('0914', '0211'), Correlation: 0.9999850900768574
Beats: ('2532', '1611'), Correlation: 0.9999850324198498
Beats: ('2532', '0734'), Correlation: 0.9999846806671753
Beats: ('0914', '0812'), Correlation: 0.9999843017297966
Beats: ('0414', '1523'), Correlation: 0.9999838605773455
Beats: ('2532', '1712'), Correlation: 0.9999837591957009
Beats: ('2532', '0511'), Correlation: 0.9999835246521247
Beats: ('0914', '2524'), Correlation: 0.9999833476295079
Beats: ('1231', '1011'), Correlation: 0.9999827663058808
Beats: ('0631', '0314'), Correlation: 0.9999824174917492
Beats: ('0212', '0513'), Correlation: 0.9999816740117324
Beats: ('0212', '1831'), Correlation: 0.9999815998650563
Beats: ('1821', '2533'), Correlation: 0.9999808376951251
Beats: ('1821', '1031'), Correlation: 0.9999804092072736
Beats: ('1231', '0713'), Correlation: 0.9999799187580175
Beats: ('1433', '2524'), Correlation: 0.999979649132789
Beats: ('2532', '1621'), Correlation: 0.9999792569599477
